startupName,startupLinkedIn,startupSite
Statful,https://www.linkedin.com/company/statful,https://www.statful.com/
Statusbrew,https://www.linkedin.com/company/statusbrew,https://statusbrew.com/
Stem,https://www.linkedin.com/company/stemapp,https://www.stemapp.io/
StickerBox,,https://stickerbox.link/
StonePaper,https://www.linkedin.com/company/threelefts,http://stonepaper.io/
StoriesOnBoard,https://www.linkedin.com/company/storiesonboard,https://storiesonboard.com/
Stripo.email,https://www.linkedin.com/company/stripo,https://stripo.email/
Subaio,https://www.linkedin.com/company/subaio,https://www.subaio.com/
Swiss Sustainable Yachts,,https://www.aquon.ch/
"Synchtank, ltd.",https://www.linkedin.com/company/synchtank,https://www.synchtank.com/
Taimi,https://www.linkedin.com/company/taimi-gay-dating-application,https://taimi.com/
TakeTask,https://www.linkedin.com/company/9277783/,http://www.taketask.com/
Talentscan.Pro,,https://www.talentscan.pro/
